PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
2/27/2021,UT1957XE,R1,99.9446,100,100,0,89.4737,0.0045,0.0045,-105.38,99.8133,460.230837,2796.995652,0,193.018923838
2/27/2021,UT1966XC,R1,99.9121,100,100,0,86.4865,0.1057,0.0971,-103.74,99.9255,377.731949,2258.111873,0,805.769517681662
2/27/2021,UT1827XA,R7,99.6929,99.9335,93.1034,0.2257,74.6765,0.2943,0.2778,-103.825,99.7579,381.16026,1620.861442,0,1131.38337804721
2/27/2021,UT1831XA,R7,99.8354,99.9919,87.5,0.0974,70.9751,0.1067,0.0971,-99.7533,99.93,356.562637,1598.503286,0,1169.4948742403
2/27/2021,UT1863XG,R8,99.8612,100,100,0.1362,94.6488,0.0612,0.0536,-103.17,100,376.118582,1446.244092,0,505.2060144405
2/27/2021,UT1864XA,R8,99.6805,99.9618,100,0.1159,100,0.0382,0.0383,-104.16,99.9722,577.073311,3407.780908,0,536.9821956322
2/27/2021,UT1931XB,R1,99.8183,99.9664,100,0.2562,88.5496,0.0974,0.0901,-103.66,99.8809,386.929806,1939.651334,0,682.81218473645
2/27/2021,UT2007XH,R1,99.8127,99.9379,100,0,91.6667,0.0398,0.0407,-104.49,99.8662,404.359496,2612.411834,0,170.6132723571
2/27/2021,UT1754XA,R7,99.7673,100,100,0.0867,86.6667,0.1789,0.1657,-100.55,99.7639,387.274802,2429.098032,0,402.8367855319
2/27/2021,UT1793XE,R7,98.4363,99.8876,0,0.4208,93.4489,0.3604,0.3782,-101.93,99.7573,270.547521,872.767883,0,227.142509214925
2/27/2021,UT1810XF,R7,99.8989,100,100,0.0901,96.2025,0.1441,0.1518,-102.47,99.9551,374.095796,1966.573916,0,598.6191726084
2/27/2021,UT1831XB,R7,99.7021,99.9897,66.6667,0.0903,97.561,0.3482,0.3334,-99.8533,99.9508,337.000235,872.297502,0,1676.0765102275
2/27/2021,UT1872XF,R8,99.1266,100,100,0,100,0.3313,0.3247,-106.15,100,373.168026,3361.944517,0,20.8188668561
2/27/2021,UT1939XG,R1,99.8214,99.9182,100,0.0556,100,0.2304,0.2079,-105.38,99.9305,379.758304,2123.27063,0,235.270221901512
2/27/2021,UT1940XA,R1,99.9027,100,100,0.0692,98.4375,0.0366,0.0349,-104.6633,99.9278,495.71845,3226.064916,0,604.45148042695
2/27/2021,UT1960XF,R1,99.654,99.9584,100,0.0897,100,0.112,0.0849,-104.68,99.9372,357.191145,2445.006988,0,411.0996235517
2/27/2021,UT2008XD,R1,99.7749,99.9814,100,0.1076,96.9349,0.1454,0.1241,-102.4233,99.8006,325.05013,1559.994648,0,1004.00215682845
2/27/2021,UT2011XB,R1,99.8228,99.9891,96.9697,0.0771,97.8022,0.1622,0.1286,-102.8167,99.6884,373.557077,2915.903377,0,1032.9320943287
2/27/2021,UT2014XB,R1,99.7799,99.9825,90.4762,0.0972,100,0.1873,0.1359,-100.9867,99.8248,357.293154,2768.695326,0,650.2952315599
2/27/2021,UT1840XA,R7,99.6095,99.9034,100,0.0399,97.271,0.1153,0.1063,-99.3633,99.9262,339.724045,1396.111032,0,1332.2471707032
2/27/2021,UT1843XF,R7,99.7965,99.9405,0,0.2758,95.2096,0.4437,0.387,-102.24,99.7702,260.215491,887.881449,0,372.73606729245
2/27/2021,UT1848XA,R8,99.7899,99.9876,93.75,0.0567,98.5795,0.1212,0.1113,-100.8133,99.8713,386.970668,2210.418216,0,1552.5660159286
2/27/2021,UT1860XA,R8,99.6719,99.961,50,0.2341,89.4515,0.1886,0.1664,-103.7767,99.9247,420.678714,1738.300993,0,535.5683336763
2/27/2021,UT1923XC,R1,99.5328,99.994,97.2549,0.1898,89.3617,0.2886,0.2362,-100.9367,99.8593,287.245945,1184.458306,0,1364.95591283029
2/27/2021,UT2014XF,R1,99.8928,100,100,0.1939,98.2456,0.0767,0.0468,-105.45,99.8209,333.776526,2699.120667,0,248.542229277212
2/27/2021,UT2015XA,R1,99.2519,99.9579,90.4762,0.2679,96,0.3418,0.229,-103.2067,99.6391,430.846106,1950.53478,0,989.165376282238
2/27/2021,UT1754XC,R7,99.6733,99.898,92.3077,0.1357,82.7004,0.2667,0.2261,-100.87,99.9314,352.429648,2627.491054,0,717.373460875712
2/27/2021,UT1764XB,R7,99.8477,99.9465,100,0.0154,98.4649,0.1114,0.1076,-101.3267,100,412.051668,2458.824916,0,1045.8792026187
2/27/2021,UT1790XB,R7,99.8101,99.9885,100,0.1578,88.9632,0.0677,0.0623,-100.0133,99.8722,407.549667,2037.633624,0,1069.257173187
2/27/2021,UT1798XA,R7,99.8026,99.9857,75,0.0591,91.6667,0.2309,0.2213,-103.1367,99.7851,422.480668,2406.562837,0,1030.060102895
2/27/2021,UT1802XC,R7,99.3121,99.9944,100,0.207,95.4351,0.2875,0.2586,-97.8033,99.8391,352.492643,1606.18358,0,1984.42797234612
2/27/2021,UT1843XG,R7,99.2896,100,100,0.4353,100,0.1157,0.0981,-104.14,99.9073,411.335001,1388.608478,0,123.029049685
2/27/2021,UT1881XD,R7,98.9787,99.9833,100,0.0267,93.3014,0.0379,0.0357,-104.0733,99.9725,567.532895,3689.581008,0,584.3962141382
2/27/2021,UT1891XC,R7,98.639,99.9233,85.7143,0.2209,81.854,0.9025,0.7097,-94.9633,99.0869,406.792119,3021.306988,0,570.3094382441
2/27/2021,UT1904XA,R1,99.2281,99.9883,99.0476,0.0401,69.5291,0.2889,0.2645,-100.0633,99.8404,318.409638,1960.795706,0,1269.59454112583
2/27/2021,UT1907XE,R1,99.8652,100,100,0.2008,100,0.128,0.1176,-105.69,100,482.427956,1631.306403,0,56.1303556368
