,PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
4665,2/27/2021,UT1794XB,R7,99.0404,99.9373,100.0,0.2397,85.5072,0.375,0.3619,-103.07,99.8859,380.63379100000003,1523.459565,0,549.7763153751
4666,2/27/2021,UT1797XF,R7,99.6006,99.9772,100.0,0.1332,97.5439,0.1567,0.1203,-101.11,99.9587,352.01593199999996,1137.690128,0,435.87150167690004
4667,2/27/2021,UT1827XC,R7,99.6756,99.97,66.6667,0.0619,91.2752,0.1487,0.1438,-101.32,99.9593,516.289555,5122.28216,0,901.7414197133
4668,2/27/2021,UT1873XB,R8,99.2048,99.7735,100.0,0.401,96.1538,0.0809,0.0732,-101.7367,99.9035,386.31304700000004,2655.524412,0,679.3446757033
4669,2/27/2021,UT1877XB,R8,99.69200000000001,100.0,94.6429,0.2467,97.2441,0.2003,0.1779,-104.74,99.90700000000001,416.534012,1237.207191,0,369.80917517190005
4670,2/27/2021,UT1764XC,R7,99.6688,99.9879,100.0,0.0514,93.7349,0.0972,0.0912,-101.7467,99.9244,469.65951399999994,2202.1260350000002,0,842.6052758351
4671,2/27/2021,UT1848XC,R8,99.7127,100.0,91.6667,0.1326,98.4076,0.1426,0.1284,-102.5767,99.8131,330.66725099999996,1881.896775,0,1247.7535870766
4672,2/27/2021,UT1882XA,R7,99.5479,99.9825,100.0,0.1233,97.4038,0.2597,0.2245,-100.0567,99.8164,377.27647,1542.686449,0,1739.9539050165
4673,2/27/2021,UT1886XD,R7,99.8294,99.9708,100.0,0.0733,98.0226,0.1719,0.165,-103.4267,99.7148,437.156763,2141.4340469999997,0,475.3739486091
4674,2/27/2021,UT1912XA,R1,99.6366,99.9811,98.6486,0.1746,82.1813,0.307,0.2632,-98.7267,99.9082,294.92727599999995,1749.889811,0,1690.3273600110901
4675,2/27/2021,UT1980XA,R1,99.7875,99.9904,100.0,0.1838,96.1424,0.1846,0.1693,-102.7433,99.9447,418.489679,2325.402111,0,817.803793593
4676,2/27/2021,UT1840XE,R7,99.8839,100.0,100.0,0.0,97.0711,0.0761,0.0735,-102.9,99.9744,422.39562199999995,1320.284317,0,293.9795507756
4677,2/27/2021,UT1861XA,R8,99.8784,99.9886,85.7143,0.1749,79.321,0.2262,0.2092,-101.1333,99.8708,320.220302,2274.875356,0,1160.41032319393
4678,2/27/2021,UT1869XB,R7,98.2197,97.9243,50.0,3.3123,,1.0036,0.7843,-99.215,99.6796,463.13423600000004,2002.833259,0,94.5453819774
4679,2/27/2021,UT1877XE,R8,99.3112,99.9589,100.0,0.4978,95.6522,0.2572,0.2401,-102.47,99.95299999999999,451.174119,1967.2819989999998,0,196.06942824919997
4680,2/27/2021,UT1904XB,R1,99.6644,99.9528,97.8629,0.2561,95.8435,0.4049,0.3729,-99.0167,99.8418,223.20795,923.5177460000001,0,2168.5836493805605
4681,2/27/2021,UT2169XA,R3,99.3337,99.9782,97.3684,0.5053,88.71600000000001,0.4785,0.4728,-94.4,99.734,311.601682,1538.607574,0,2135.61658193339
4682,2/27/2021,UT2181XG,R3,99.4779,99.9745,0.0,0.3602,97.8261,0.17800000000000002,0.2008,-101.58,99.8301,348.284337,1125.797791,0,442.70558444567496
4683,2/27/2021,UT2201XG,R3,99.60700000000001,100.0,100.0,0.0,100.0,0.2815,0.2099,-106.19,100.0,411.307629,2462.148997,0,52.241207545825006
4684,2/27/2021,UT2217XB,R3,99.6019,99.9755,100.0,0.0759,95.2381,0.1997,0.2055,-102.8433,99.7024,420.722784,2937.403966,0,475.7418027283
4685,2/27/2021,UT2222XB,R3,99.8648,99.9835,100.0,0.1048,91.8367,0.1997,0.1796,-102.61,99.8607,388.25947,3688.9779740000004,0,687.7310469377001
4686,2/27/2021,UT2230XC,R3,99.7941,99.985,97.619,0.0491,97.4684,0.0794,0.1002,-102.1233,99.9226,475.400503,2775.968942,0,738.0507537127
4687,2/27/2021,UT2230XF,R3,99.6101,99.9051,100.0,0.0757,99.2593,0.2241,0.2745,-105.13,99.8929,425.88020199999994,2005.442725,0,190.01232838020002
4688,2/27/2021,UT2241XC,R3,99.4992,100.0,83.3333,0.0,75.0,0.3144,0.3346,-106.1233,100.0,502.27515999999997,3538.198103,0,120.2318122286
4689,2/27/2021,UT2037XB,R1,99.5515,100.0,97.6744,0.1568,96.6667,0.0789,0.0583,-103.9967,99.7842,324.403641,2231.3637670000003,0,853.9871038269
4690,2/27/2021,UT2045XF,R1,99.9431,100.0,100.0,0.0,100.0,0.1217,0.0656,-104.97,99.9466,385.038699,3998.8677880000005,0,308.861474002187
4691,2/27/2021,UT2046XA,R1,99.8734,99.9904,97.4359,0.1008,98.0932,0.1201,0.0957,-103.3233,99.9044,309.536606,1749.2681329999998,0,2167.0167905561702
4692,2/27/2021,UT2050XB,R1,99.9099,100.0,87.5,0.0335,97.6077,0.0469,0.0394,-102.0433,99.9783,388.86978799999997,2899.731016,0,700.5102012596001
4693,2/27/2021,UT2054XC,R1,99.5327,99.8924,98.1308,0.0632,97.2308,0.1585,0.1102,-102.7033,99.6352,351.928168,1824.248898,0,872.093902278688
4694,2/27/2021,UT2058XC,R1,99.8905,100.0,81.8182,0.1427,100.0,0.1356,0.1276,-104.4867,100.0,383.955335,2471.440095,0,350.4041592842
4695,2/27/2021,UT2070XC,R1,99.7452,99.9839,100.0,0.0641,100.0,0.0504,0.0386,-105.59,100.0,489.65432000000004,3332.090126,0,569.818442608425
4696,2/27/2021,UT2108XA,R3,99.6904,99.9857,96.9997,0.1365,92.5926,0.2218,0.2355,-102.32,99.8965,336.088436,1038.030599,0,1776.0833757325602
4697,2/27/2021,UT2117XA,R3,99.6738,99.9751,94.3662,0.1114,41.6667,0.1098,0.1052,-101.0267,99.8827,463.598737,2499.920879,0,388.72818583842496
4698,2/27/2021,UT2126XA,R3,99.4054,99.9756,100.0,0.1222,92.5676,0.3085,0.2685,-101.74,99.805,346.1063,2471.73317,0,1288.61062912293
